round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,360,340,160,140,340,340,320,
2,500,460,140,100,440,440,360,
3,620,580,120,80,560,560,380,
4,680,700,100,80,620,640,0,
5,780,800,100,60,740,760,0,
6,900,920,100,60,840,780,0,
7,920,1020,100,40,920,820,0,
8,1020,1040,80,40,1000,840,0,
9,1120,1080,40,40,1060,880,0,
10,1200,1100,40,40,1140,900,0,
11,1300,1120,40,40,1220,940,0,
12,1400,1140,40,40,1260,980,0,
13,1420,1200,40,20,1300,1000,0,
14,1500,0,40,20,1320,1020,0,
15,1620,0,0,20,0,0,0,
16,1700,0,0,20,0,0,0,
17,1800,0,0,20,0,0,0,
18,1880,0,0,20,0,0,0,
19,1960,0,0,20,0,0,0,
20,2000,0,0,20,0,0,0,
21,2100,0,0,20,0,0,0,
22,2240,0,0,20,0,0,0,
23,2300,0,0,20,0,0,0,
24,2320,0,0,0,0,0,0,
25,2380,0,0,0,0,0,0,
26,2460,0,0,0,0,0,0,
27,2500,0,0,0,0,0,0,
