T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,20523,22220,7853,4033,6364,21529,0,
55.00,0.10,20523,23895,7853,4099,6640,23434,0,
60.00,0.10,20045,33423,7903,4230,4265,23577,0,
65.00,0.10,20045,24643,7887,4230,6640,32689,0,
70.00,0.10,20045,24358,7887,4230,4207,23710,0,
75.00,0.10,20045,24634,7887,4230,6640,23476,0,
80.00,0.10,26895,24765,7773,4230,6640,23116,0,
85.00,0.10,27070,24653,7853,4081,4068,33158,0,
90.00,0.10,20045,24501,7853,4210,8864,23589,0,
95.00,0.10,20045,25000,7757,4230,8825,23476,0,
100.00,0.10,20045,25469,7757,3803,6872,25042,0,
