T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,18.8,16.9,48.5,42.2,42.957,21.1921,
2.00,0.10,44.2,42.4,100.8,95.6,230.006,74.539,
3.00,0.10,83.6,79.9,168.5,170,648.908,197.217,
4.00,0.10,142.3,137.8,249.6,239.7,1822.34,571.714,
5.00,0.10,222.6,213.655,358.9,347.232,4422.39,1326.72,
6.00,0.10,323.8,318.37,505.4,490.894,8853.43,4426.72,
7.00,0.10,467.8,461.32,682.8,644.951,33964.6,10591.1,
8.00,0.10,673.7,657.318,821.1,845.202,116218,28806.3,
9.00,0.10,914.9,948.698,1069.5,1107.03,259267,83721.5,
10.00,0.10,1245.2,1331.98,1471.6,1415.74,638739,227596,
